artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
outkast,ms. jackson,270506,TRUE,2000,82,86.46153846,80.68068068,4,-5.946,0,46.70138889,16.01343785,0,9.038686987,63.00102775,94.948,hip hop,4.508433333
fragma,everytime you need me - radio version,213346,FALSE,2001,50,69.94871795,91.79179179,11,-5.459,0,5.520833333,16.79731243,0.0676,39.85932005,81.19218911,137.029,pop,3.555766667
mariah carey,loverboy,229173,FALSE,2001,42,73.94871795,79.07907908,1,-4.125,1,21.52777778,20.49272116,0,11.72332943,84.37821172,103.141,pop,3.81955
dido,thank you,218360,FALSE,1999,73,74.35897436,58.35835836,1,-9.942,0,7.413194444,33.59462486,0.000238,7.796014068,78.31449126,79.984,pop,3.639333333
joe,stutter (feat. mystikal) - double take remix,213026,FALSE,2000,57,78.66666667,75.97597598,6,-6.516,1,20.3125,5.744680851,0,36.34232122,69.57862282,89.989,pop,3.550433333
p.o.d.,youth of the nation,256240,FALSE,2001,69,57.74358974,86.08608609,8,-7.533,1,10.78125,0.933930571,0.0106,45.72098476,53.13463515,97.867,rock,4.270666667
jennifer lopez,play,211493,TRUE,2001,57,79.48717949,72.97297297,1,-4.229,0,28.125,3.393057111,0.00247,4.232121923,91.98355601,104.719,hip hop,3.524883333
missy elliott,get ur freak on,211120,TRUE,2001,68,81.74358974,75.07507508,0,-9.369,1,42.88194444,59.68645017,0.108,11.13716295,76.05344296,177.87,hip hop,3.518666667
ricky martin,nobody wants to be lonely (with christina aguilera),252706,FALSE,2008,52,65.12820513,85.48548549,10,-5.02,0,10.625,0.64837626,0.0083,7.303634232,60.63720452,100.851,pop,4.211766667
christina milian,am to pm,231213,FALSE,2001,60,89.43589744,86.88688689,10,-3.036,0,20.83333333,17.13325868,2.26E-05,98.82766706,84.48098664,105.005,hip hop,3.85355
gorillaz,clint eastwood,340920,TRUE,2001,74,68,69.46946947,10,-8.627,0,29.6875,2.833146697,0,8.182883939,53.95683453,167.953,hip hop,5.682
2pac,until the end of time,266506,TRUE,2001,57,77.64102564,70.67067067,8,-6.665,1,35.24305556,2.989921613,0,23.09495897,38.54059609,96.976,hip hop,4.441766667
tamia,stranger in my house,285386,FALSE,2000,48,69.33333333,60.16016016,0,-4.905,1,5.15625,11.53415454,0,17.23329426,21.17163412,119.94,pop,4.756433333
mary j. blige,no more drama,326240,FALSE,2001,61,66.97435897,83.78378378,6,-6.818,0,21.52777778,59.79843225,7.12E-05,9.19109027,65.77595067,97.914,pop,5.437333333
